序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00417,="10:28:01.735",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00418,="10:28:01.735",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00419,="10:28:01.797",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00420,="10:28:01.797",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00421,="10:28:01.854",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00422,="10:28:01.854",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00423,="10:28:01.914",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00424,="10:28:01.914",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00425,="10:28:01.945",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00426,="10:28:01.945",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00427,="10:28:02.007",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00428,="10:28:02.007",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00429,="10:28:02.063",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BD 
00430,="10:28:02.063",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00431,="10:28:02.096",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BD 
00432,="10:28:02.096",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00433,="10:28:02.157",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BD 
00434,="10:28:02.157",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00435,="10:28:02.218",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BD 
00436,="10:28:02.218",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00437,="10:28:02.250",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00438,="10:28:02.250",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00439,="10:28:02.310",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00440,="10:28:02.310",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00441,="10:28:02.370",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00442,="10:28:02.370",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00443,="10:28:02.401",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00444,="10:28:02.401",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00445,="10:28:02.460",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00446,="10:28:02.460",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00447,="10:28:02.521",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00448,="10:28:02.521",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00449,="10:28:02.550",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00450,="10:28:02.582",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00451,="10:28:02.614",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00452,="10:28:02.614",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00453,="10:28:02.672",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00454,="10:28:02.672",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00455,="10:28:02.734",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00456,="10:28:02.734",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00457,="10:28:02.764",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00458,="10:28:02.764",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00459,="10:28:02.823",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00460,="10:28:02.823",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00461,="10:28:02.884",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00462,="10:28:02.884",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00463,="10:28:02.944",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00464,="10:28:02.944",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00465,="10:28:02.974",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00466,="10:28:02.974",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00467,="10:28:03.035",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00468,="10:28:03.035",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00469,="10:28:03.094",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 B8 
00470,="10:28:03.094",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00471,="10:28:03.125",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 B8 
00472,="10:28:03.125",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00473,="10:28:03.186",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 B8 
00474,="10:28:03.186",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00475,="10:28:03.245",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 B8 
00476,="10:28:03.245",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00477,="10:28:03.278",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00478,="10:28:03.278",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00479,="10:28:03.337",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00480,="10:28:03.337",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00481,="10:28:03.397",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 78 
00482,="10:28:03.397",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00483,="10:28:03.459",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 78 
00484,="10:28:03.459",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00485,="10:28:03.488",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00486,="10:28:03.488",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00487,="10:28:03.549",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00488,="10:28:03.549",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00489,="10:28:03.609",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00490,="10:28:03.609",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00491,="10:28:03.639",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00492,="10:28:03.639",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00493,="10:28:03.639",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00494,="10:28:03.639",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00495,="10:28:03.699",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00496,="10:28:03.699",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00497,="10:28:03.759",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00498,="10:28:03.760",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00499,="10:28:03.790",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00500,="10:28:03.790",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00501,="10:28:03.852",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00502,="10:28:03.852",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00503,="10:28:03.910",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00504,="10:28:03.910",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00505,="10:28:03.971",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00506,="10:28:03.971",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00507,="10:28:04.001",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00508,="10:28:04.001",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00509,="10:28:04.063",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00510,="10:28:04.063",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00511,="10:28:04.123",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00512,="10:28:04.123",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00513,="10:28:04.151",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BA 
00514,="10:28:04.151",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00515,="10:28:04.214",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BA 
00516,="10:28:04.214",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00517,="10:28:04.275",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BA 
00518,="10:28:04.275",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00519,="10:28:04.333",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BA 
00520,="10:28:04.333",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00521,="10:28:04.364",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 78 
00522,="10:28:04.364",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00523,="10:28:04.424",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00524,="10:28:04.424",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00525,="10:28:04.485",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00526,="10:28:04.485",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00527,="10:28:04.515",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00528,="10:28:04.515",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00529,="10:28:04.575",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00530,="10:28:04.575",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00531,="10:28:04.635",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00532,="10:28:04.635",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00533,="10:28:04.665",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00534,="10:28:04.665",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00535,="10:28:04.726",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00536,="10:28:04.726",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00537,="10:28:04.787",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00538,="10:28:04.787",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00539,="10:28:04.818",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00540,="10:28:04.818",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00541,="10:28:04.877",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00542,="10:28:04.877",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00543,="10:28:04.934",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00544,="10:28:04.934",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00545,="10:28:04.997",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00546,="10:28:04.997",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00547,="10:28:05.058",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00548,="10:28:05.058",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00549,="10:28:05.089",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00550,="10:28:05.089",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00551,="10:28:05.151",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00552,="10:28:05.151",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00553,="10:28:05.211",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BB 
00554,="10:28:05.211",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00555,="10:28:05.242",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BB 
00556,="10:28:05.242",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00557,="10:28:05.300",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BB 
00558,="10:28:05.300",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00559,="10:28:05.358",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BB 
00560,="10:28:05.358",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00561,="10:28:05.391",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00562,="10:28:05.391",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00563,="10:28:05.451",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00564,="10:28:05.451",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00565,="10:28:05.512",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00566,="10:28:05.512",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00567,="10:28:05.544",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00568,="10:28:05.544",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00569,="10:28:05.606",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00570,="10:28:05.606",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00571,="10:28:05.666",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00572,="10:28:05.666",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00573,="10:28:05.696",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00574,="10:28:05.696",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00575,="10:28:05.754",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00576,="10:28:05.754",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00577,="10:28:05.813",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00578,="10:28:05.813",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00579,="10:28:05.847",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00580,="10:28:05.847",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00581,="10:28:05.908",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00582,="10:28:05.908",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00583,="10:28:05.971",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00584,="10:28:05.971",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00585,="10:28:06.027",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00586,="10:28:06.027",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00587,="10:28:06.089",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00588,="10:28:06.089",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00589,="10:28:06.118",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00590,="10:28:06.118",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00591,="10:28:06.180",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00592,="10:28:06.180",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00593,="10:28:06.238",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BD 
00594,="10:28:06.238",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00595,="10:28:06.269",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BD 
00596,="10:28:06.269",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00597,="10:28:06.330",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BD 
00598,="10:28:06.330",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00599,="10:28:06.391",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BD 
00600,="10:28:06.391",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00601,="10:28:06.420",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00602,="10:28:06.420",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00603,="10:28:06.479",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00604,="10:28:06.479",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00605,="10:28:06.536",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00606,="10:28:06.536",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00607,="10:28:06.571",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00608,="10:28:06.571",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00609,="10:28:06.632",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00610,="10:28:06.632",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00611,="10:28:06.693",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00612,="10:28:06.693",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00613,="10:28:06.721",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00614,="10:28:06.754",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00615,="10:28:06.784",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00616,="10:28:06.784",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00617,="10:28:06.839",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00618,="10:28:06.839",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00619,="10:28:06.903",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00620,="10:28:06.903",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00621,="10:28:06.933",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00622,="10:28:06.933",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00623,="10:28:06.993",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00624,="10:28:06.993",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00625,="10:28:07.054",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00626,="10:28:07.054",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00627,="10:28:07.115",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00628,="10:28:07.115",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00629,="10:28:07.145",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00630,="10:28:07.145",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00631,="10:28:07.204",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00632,="10:28:07.204",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00633,="10:28:07.263",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 B8 
00634,="10:28:07.263",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00635,="10:28:07.293",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 B8 
00636,="10:28:07.293",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00637,="10:28:07.355",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 B8 
00638,="10:28:07.355",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00639,="10:28:07.417",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 B8 
00640,="10:28:07.417",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00641,="10:28:07.447",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00642,="10:28:07.447",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00643,="10:28:07.506",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00644,="10:28:07.506",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00645,="10:28:07.565",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 78 
00646,="10:28:07.565",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00647,="10:28:07.626",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 78 
00648,="10:28:07.626",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00649,="10:28:07.657",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00650,="10:28:07.657",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00651,="10:28:07.720",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00652,="10:28:07.720",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00653,="10:28:07.781",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00654,="10:28:07.781",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00655,="10:28:07.810",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00656,="10:28:07.810",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00657,="10:28:07.810",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00658,="10:28:07.810",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00659,="10:28:07.868",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00660,="10:28:07.868",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00661,="10:28:07.928",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00662,="10:28:07.928",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00663,="10:28:07.957",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00664,="10:28:07.957",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00665,="10:28:08.024",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00666,="10:28:08.024",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00667,="10:28:08.083",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
