Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00176,="23:42:00.452",0x7829B6,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 16 10 83 
00177,="23:42:00.452",0x7829BF,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 16 10 20 00 00 
00178,="23:42:00.452",0x7829C4,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00179,="23:42:00.452",0x7829C9,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 A4 
00180,="23:42:01.472",0x7851FF,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00181,="23:42:02.522",0x787A4C,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00182,="23:42:02.522",0x787A50,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 08 20 85 
00183,="23:42:02.522",0x787A5C,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 08 20 11 11 12 
00184,="23:42:02.522",0x787A60,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 12 12 12 00 00 00 00 
00185,="23:42:02.522",0x787A66,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00186,="23:42:02.522",0x787A6B,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00187,="23:42:02.522",0x787A6F,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 F0 
00188,="23:42:03.542",0x78A299,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00189,="23:42:04.561",0x78CAE5,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00190,="23:42:04.561",0x78CAE9,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 09 04 6A 
00191,="23:42:04.561",0x78CAF3,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 09 04 AF 3F 01 
00192,="23:42:04.561",0x78CAF6,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 5A 
00193,="23:42:05.611",0x78F332,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00194,="23:42:05.611",0x78F336,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0A 04 6B 
00195,="23:42:05.611",0x78F340,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0A 04 00 00 00 
00196,="23:42:05.611",0x78F343,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 6C 
00197,="23:42:06.631",0x791B7F,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00198,="23:42:06.631",0x791B83,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0D 04 6E 
00199,="23:42:06.631",0x791B8D,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0D 04 61 00 00 
00200,="23:42:06.631",0x791B90,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 D0 
00201,="23:42:07.682",0x7943CC,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00202,="23:42:08.702",0x796C18,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00203,="23:42:09.752",0x799465,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00204,="23:42:10.772",0x79BCB2,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00205,="23:42:10.772",0x79BCB6,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0E 04 6F 
00206,="23:42:10.772",0x79BCC1,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0E 04 64 00 00 
00207,="23:42:10.772",0x79BCC4,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 D4 
00208,="23:42:11.793",0x79E4FF,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00209,="23:42:12.842",0x7A0D4C,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00210,="23:42:12.842",0x7A0D50,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 24 20 A1 
00211,="23:42:12.842",0x7A0D5E,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 24 20 FB 0F F9 
00212,="23:42:12.842",0x7A0D63,ch1,Receive,0x0544,Data,Standard,0x08,x| 0F F9 0F FC 0F FC 0F FA 
00213,="23:42:12.842",0x7A0D68,ch1,Receive,0x0544,Data,Standard,0x08,x| 0F F3 0F FA 0F FB 0F FB 
00214,="23:42:12.842",0x7A0D6C,ch1,Receive,0x0544,Data,Standard,0x08,x| 0F F7 0F FC 0F FB 0F FD 
00215,="23:42:12.842",0x7A0D71,ch1,Receive,0x0544,Data,Standard,0x06,x| 0F FD 0F 03 10 40 
00216,="23:42:13.862",0x7A3598,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00217,="23:42:14.912",0x7A5DE5,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00218,="23:42:14.912",0x7A5DE9,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 25 20 A2 
00219,="23:42:14.912",0x7A5DF6,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 25 20 09 10 06 
00220,="23:42:14.912",0x7A5DFB,ch1,Receive,0x0544,Data,Standard,0x08,x| 10 03 10 05 10 00 00 00 
00221,="23:42:14.912",0x7A5E00,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00222,="23:42:14.912",0x7A5E05,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00223,="23:42:14.912",0x7A5E0A,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 FA 
00224,="23:42:15.931",0x7A8632,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00225,="23:42:16.983",0x7AAE7F,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00226,="23:42:16.983",0x7AAE83,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 26 0E 91 
00227,="23:42:16.983",0x7AAE91,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 26 0E 75 26 FF 
00228,="23:42:16.983",0x7AAE96,ch1,Receive,0x0544,Data,Standard,0x08,x| FF B0 17 00 00 88 10 58 
00229,="23:42:16.983",0x7AAE99,ch1,Receive,0x0544,Data,Standard,0x04,x| 02 38 01 1D 
00230,="23:42:18.002",0x7AD6CC,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00231,="23:42:19.023",0x7AFF18,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00232,="23:42:20.072",0x7B2765,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00233,="23:42:21.091",0x7B4FB2,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00234,="23:42:21.091",0x7B4FB6,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 16 10 83 
00235,="23:42:21.091",0x7B4FBC,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 16 10 20 00 00 
00236,="23:42:21.091",0x7B4FC1,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00237,="23:42:21.091",0x7B4FC6,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 A4 
00238,="23:42:22.142",0x7B77FF,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00239,="23:42:23.162",0x7BA04B,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00240,="23:42:23.162",0x7BA04F,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 08 20 85 
00241,="23:42:23.162",0x7BA057,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 08 20 11 11 11 
00242,="23:42:23.162",0x7BA05C,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 12 12 13 00 00 00 00 
00243,="23:42:23.162",0x7BA061,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00244,="23:42:23.162",0x7BA066,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00245,="23:42:23.162",0x7BA06A,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 F0 
00246,="23:42:24.211",0x7BC898,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00247,="23:42:25.232",0x7BF0E5,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00248,="23:42:25.232",0x7BF0E9,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 09 04 6A 
00249,="23:42:25.232",0x7BF0F0,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 09 04 C5 3F 01 
00250,="23:42:25.232",0x7BF0F3,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 70 
00251,="23:42:26.251",0x7C1932,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00252,="23:42:26.251",0x7C1936,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0A 04 6B 
00253,="23:42:26.281",0x7C193E,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0A 04 00 00 00 
00254,="23:42:26.281",0x7C1940,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 6C 
00255,="23:42:27.301",0x7C417F,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00256,="23:42:27.301",0x7C4182,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0D 04 6E 
00257,="23:42:27.301",0x7C418B,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0D 04 61 00 00 
00258,="23:42:27.301",0x7C418D,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 D0 
00259,="23:42:28.322",0x7C69CB,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00260,="23:42:29.372",0x7C9218,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00261,="23:42:30.392",0x7CBA65,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00262,="23:42:31.442",0x7CE2B2,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00263,="23:42:31.442",0x7CE2B6,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0E 04 6F 
00264,="23:42:31.442",0x7CE2BF,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0E 04 64 00 00 
00265,="23:42:31.442",0x7CE2C2,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 D4 
00266,="23:42:32.462",0x7D0AFE,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00267,="23:42:33.482",0x7D334B,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00268,="23:42:33.482",0x7D334F,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 24 20 A1 
00269,="23:42:33.511",0x7D335A,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 24 20 FB 0F F9 
00270,="23:42:33.511",0x7D335F,ch1,Receive,0x0544,Data,Standard,0x08,x| 0F F9 0F FC 0F FC 0F FA 
